mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009315872192382812,0.0007565600685313286,0.0022008419036865234,0.0004004245252966428,1e-05,l1,liblinear,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.005861997604370117,0.0014207975305887443,0.0012085914611816406,0.00042507002236293116,1e-05,l1,saga,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.008218050003051758,0.0015896719056384375,0.0016082286834716796,0.0004857902343904445,1e-05,l2,liblinear,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.04465928077697754,0.011782345731872961,0.002227497100830078,0.00047672671946484573,1e-05,l2,saga,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.0017521381378173828,0.0003873262852938469,0.0,0.0,1e-05,elasticnet,liblinear,"{'C': 1e-05, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,21,,,,,,,
0.0013028621673583985,0.00040253000582625556,0.0,0.0,1e-05,elasticnet,saga,"{'C': 1e-05, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,21,,,,,,,
0.011827039718627929,0.0016667074894609253,0.002057981491088867,0.0005031427302481263,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.061531877517700194,0.012429617780132232,0.0026015281677246095,0.0004875940697195063,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.02434883117675781,0.002204078994374466,0.0028067588806152343,0.0005154537029266058,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.08144373893737793,0.014402477254412184,0.0022794723510742186,0.00038727671884673776,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.002004671096801758,0.0005549286417467342,0.0,0.0,0.01,elasticnet,liblinear,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,21,,,,,,,
0.0020023345947265624,7.701473688595028e-06,0.0,0.0,0.01,elasticnet,saga,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,21,,,,,,,
0.2073613166809082,0.015451563063760998,0.002503824234008789,0.0006391846282465456,1.0,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
1.9000150203704833,0.4751411589087087,0.0022005558013916014,0.00039854337792086556,1.0,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.06689419746398925,0.011598507148970663,0.002400493621826172,0.0004884421699940018,1.0,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
1.2546725749969483,0.33685358591062103,0.002501964569091797,0.0007718738515147698,1.0,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.0027086734771728516,0.0007504539486934425,0.0,0.0,1.0,elasticnet,liblinear,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,21,,,,,,,
0.0020107746124267576,0.000316117265493873,0.0,0.0,1.0,elasticnet,saga,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,21,,,,,,,
0.3138768672943115,0.18840356033092562,0.0027118206024169924,0.0005160653808023079,10.0,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
1.8742599010467529,0.7700239625412876,0.0016973495483398437,0.000607856953634654,10.0,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.06608390808105469,0.01015499534211595,0.002397441864013672,0.0004894827518032638,10.0,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
1.8650545597076416,0.42601418348956466,0.0020008087158203125,2.0286605249579092e-06,10.0,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.001817178726196289,0.0006733654777274993,0.0,0.0,10.0,elasticnet,liblinear,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,21,,,,,,,
0.001903390884399414,0.0006606143120006682,0.0,0.0,10.0,elasticnet,saga,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,21,,,,,,,
1.8641319274902344,0.8563761688558503,0.0022006988525390624,0.00039990026096615555,100.0,l1,liblinear,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
2.1421329021453857,0.2844583438108711,0.0021665096282958984,0.0005952049418643598,100.0,l1,saga,"{'C': 100, 'penalty': 'l1', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.057612943649291995,0.005779482943265944,0.0015997886657714844,0.0004893954238710001,100.0,l2,liblinear,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
1.7311316013336182,0.514484280429025,0.001175069808959961,0.0004143000300764582,100.0,l2,saga,"{'C': 100, 'penalty': 'l2', 'solver': 'saga'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.0016322612762451171,0.0006297057132928114,0.0,0.0,100.0,elasticnet,liblinear,"{'C': 100, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,21,,,,,,,
0.0023990154266357424,0.0004909214291754502,0.0,0.0,100.0,elasticnet,saga,"{'C': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,21,,,,,,,
