mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24.604196945826214,0.6290397869308902,0.6793253421783447,0.0031832247340479077,300,5,4,log2,15.0,entropy,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None}",0.9277089038478692,0.9685876448617534,0.9715224930147935,0.9559396805748054,0.019998098232497714,15
47.381794373194374,2.5220490485902176,1.1017266114552815,0.012016203517172294,400,2,6,sqrt,25.0,entropy,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': None}",0.9478201504566023,0.9844519835471623,0.98564676904725,0.9726396343503382,0.017556802359985104,5
7.222674210866292,0.15211032896735477,0.29557617505391437,0.01524212124850176,100,15,2,log2,,gini,balanced,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini', 'class_weight': 'balanced'}",0.950819411530015,0.9841676963250714,0.9859517826577808,0.9736462968376225,0.016157470112317225,4
140.54478780428568,2.3603857108407773,0.5860498746236166,0.044816075277126985,300,15,1,,15.0,entropy,balanced,"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.8999902552344481,0.9884445984702785,0.9883941475201268,0.9589430004082845,0.041685890970231634,13
112.98298740386963,4.180628504625324,0.44288818041483563,0.03308802129057918,300,10,4,,10.0,entropy,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.8754448717748357,0.9675664986936536,0.9621746866150994,0.935062019027863,0.04221311876904668,19
154.6981154282888,5.198713663498599,0.5743744373321533,0.022739294238030592,400,5,1,,10.0,entropy,balanced,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.8775487099987309,0.9688582373182576,0.9644269853224992,0.9369446442131625,0.04203821078864876,18
9.521209875742594,0.20031142103251934,0.2705116271972656,0.0009638322426068489,100,15,6,log2,,entropy,,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'class_weight': None}",0.941853179975589,0.9804065229403703,0.9814989115979942,0.9679195381713178,0.01843709305423635,6
10.494247754414877,0.11548750051032357,0.2424633502960205,0.004867399994546586,100,5,2,sqrt,15.0,entropy,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None}",0.9349239776709801,0.9738055922226191,0.9773256475382284,0.9620184058106092,0.019212473804213415,11
30.083937644958496,0.5259383303067674,0.8943589528401693,0.015880360089758315,300,5,4,log2,25.0,entropy,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.9533655906823608,0.987096362224509,0.9883874601564725,0.9762831376877807,0.016213722665830637,3
15.696832656860352,0.14760504944925348,0.46618183453877765,0.007973602418074304,200,10,6,sqrt,15.0,gini,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'gini', 'class_weight': None}",0.9264167087310791,0.9657255731165415,0.9688075039417845,0.9536499285964682,0.019297854329438997,16
23.151000261306763,0.11320556327437337,0.908195416132609,0.017409742869708405,300,2,2,log2,20.0,gini,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.9582884829760371,0.9875023985979139,0.9892998421567324,0.9783635745768944,0.014214187230226358,2
27.727840979894,1.0612743581929478,0.745464007059733,0.026948744859328154,300,5,2,log2,15.0,entropy,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.9346709735898863,0.973056005200359,0.9758297460595851,0.9611855749499435,0.01878281969514684,12
100.93942165374756,0.9982493252835757,0.6129105885823568,0.01935579162600063,300,10,1,,15.0,gini,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15, 'criterion': 'gini', 'class_weight': 'balanced'}",0.9070318754530349,0.9888034281811315,0.9904818672537364,0.962105723629301,0.038949119409274764,10
149.6772816181183,0.8790165395248009,0.4691590468088786,0.03180841546449215,300,10,1,,20.0,entropy,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.9104743770130299,0.9933545210153696,0.9936889818351865,0.965839293287862,0.03914914585359748,7
33.83759872118632,0.7972194670514833,1.0187098185221355,0.04927186775901338,400,5,2,sqrt,15.0,gini,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'gini', 'class_weight': None}",0.9404898794876739,0.9762234433656728,0.9795351095186056,0.9654161441239841,0.017677307199092763,8
48.91212344169617,0.48130664621057767,0.21305402119954428,0.00993473430372478,100,5,6,,20.0,entropy,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy', 'class_weight': None}",0.904538904492866,0.9912126328251286,0.9913685472177828,0.9623733615119258,0.040895186280225905,9
36.478664557139076,0.4995010167926426,0.9972844123840332,0.03915516961787078,400,2,4,log2,15.0,entropy,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None}",0.9279438362088851,0.9690051740972583,0.9713644671202472,0.9561044924754635,0.019935871971822845,14
32.87036792437235,1.044717027343358,0.6610484917958578,0.030287090405735236,400,5,4,sqrt,10.0,entropy,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}",0.8833832440407765,0.9242142144899964,0.9264661252534082,0.9113545279280603,0.019800039010885177,20
42.73557790120443,1.6713561885049033,1.1759638786315918,0.04559394843244506,400,5,2,log2,,entropy,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'class_weight': None}",0.9662596958269043,0.9936208170748272,0.9943113900789174,0.9847306343268829,0.013063968247843392,1
65.60187705357869,0.8658864466033404,0.28386712074279785,0.04970057043485434,300,2,1,,10.0,gini,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced'}",0.8851457603717845,0.9716953631081167,0.9755700131523523,0.9441370455440845,0.04174311937673911,17
